,사용월,호선명,지하철역,04시-05시 승차인원,04시-05시 하차인원,05시-06시 승차인원,05시-06시 하차인원,06시-07시 승차인원,06시-07시 하차인원,07시-08시 승차인원,07시-08시 하차인원,08시-09시 승차인원,08시-09시 하차인원,09시-10시 승차인원,09시-10시 하차인원,10시-11시 승차인원,10시-11시 하차인원,11시-12시 승차인원,11시-12시 하차인원,12시-13시 승차인원,12시-13시 하차인원,13시-14시 승차인원,13시-14시 하차인원,14시-15시 승차인원,14시-15시 하차인원,15시-16시 승차인원,15시-16시 하차인원,16시-17시 승차인원,16시-17시 하차인원,17시-18시 승차인원,17시-18시 하차인원,18시-19시 승차인원,18시-19시 하차인원,19시-20시 승차인원,19시-20시 하차인원,20시-21시 승차인원,20시-21시 하차인원,21시-22시 승차인원,21시-22시 하차인원,22시-23시 승차인원,22시-23시 하차인원,23시-24시 승차인원,23시-24시 하차인원,00시-01시 승차인원,00시-01시 하차인원,01시-02시 승차인원,01시-02시 하차인원,02시-03시 승차인원,02시-03시 하차인원,03시-04시 승차인원,03시-04시 하차인원,작업일자,Station,Line,Connection,Longitude,Latitude
0,202410,1호선,동대문,634,22,12458,1990,10170,7253,16816,12049,22735,21186,21717,24095,19779,26622,21165,30315,25143,29197,27150,27920,29548,27755,30804,25283,31133,25386,30266,24894,27302,24323,19500,23707,16751,16407,14611,15385,11413,14530,5815,9969,771,2838,4,231,0,0,0,0,20241103,동대문,1호선,소요산-용산,127.009745,37.57142
1,202409,1호선,동대문,471,19,10349,1754,8643,6493,15403,10658,19900,18414,19049,20772,17823,24111,19803,27406,24343,27369,25689,25923,26746,24246,27604,23797,27851,23520,26540,23046,24480,23127,19415,22900,15928,15891,15051,14961,11546,13371,6216,9191,797,2548,17,235,0,0,0,0,20241003,동대문,1호선,소요산-용산,127.009745,37.57142
2,202408,1호선,동대문,377,11,10496,1714,8449,6119,14123,10056,19651,18249,19532,19798,18112,22152,19089,25183,22824,24756,23992,22538,23928,22090,24381,21174,25780,21298,25407,21163,22836,21460,16598,19198,14717,14756,12872,13768,9643,13129,4891,8678,788,2474,4,252,0,0,0,0,20240903,동대문,1호선,소요산-용산,127.009745,37.57142
3,202407,1호선,동대문,757,14,12086,2117,9215,7707,15524,12252,21063,20773,20396,22798,18388,23467,19491,26570,23579,25968,24740,23638,25571,22956,26437,21930,27009,21235,26186,21134,24596,21751,16611,20720,14802,14719,13400,13573,10096,13570,5139,8969,740,2717,2,220,0,0,0,0,20240803,동대문,1호선,소요산-용산,127.009745,37.57142
4,202406,1호선,동대문,637,17,11629,2054,9170,7799,14940,12387,20147,20487,19887,22936,18625,25400,20137,28046,24098,26767,24971,24283,26360,23643,27299,21995,27640,22079,25914,21400,23860,21715,17367,20641,15865,15439,14470,13976,11195,13893,5539,9186,719,2607,5,234,0,0,0,0,20240703,동대문,1호선,소요산-용산,127.009745,37.57142
5,202405,1호선,동대문,640,13,12296,2248,9942,8379,16314,13251,21851,21824,20542,24476,19073,26523,20059,29298,24754,27991,26602,25588,27709,24847,28431,23526,29100,22403,27276,21995,25118,22994,18137,21899,16250,15290,14778,14310,11310,13630,5732,9845,800,2882,4,260,0,0,0,0,20240603,동대문,1호선,소요산-용산,127.009745,37.57142
6,202404,1호선,동대문,708,7,11309,2206,9917,7632,16477,13074,21936,20928,20056,24411,17984,26080,19424,28829,23661,27339,25539,25852,26724,24170,28215,22128,28513,22183,26641,21646,24483,22954,17860,22069,15711,15447,14206,13947,10894,13041,5546,9476,693,3153,0,266,0,0,0,0,20240503,동대문,1호선,소요산-용산,127.009745,37.57142
7,202403,1호선,동대문,752,11,11312,2172,9472,7060,16027,11982,21051,20818,20787,24205,17918,27031,19841,31297,24733,31039,28081,28255,29880,27711,31585,24769,30846,24434,28765,23949,26205,24124,19032,22535,16732,15998,14861,14204,11516,12986,5412,9867,770,3104,1,284,0,0,0,0,20240403,동대문,1호선,소요산-용산,127.009745,37.57142
8,202402,1호선,동대문,701,8,9527,1753,7632,5598,11791,9429,16768,16592,17085,19588,15182,22080,17148,26889,22039,28826,25275,26413,27518,25460,28742,23711,28762,22156,25804,21029,24186,20936,17027,18961,14357,13693,12718,12378,10353,11841,5124,8195,682,2719,4,226,0,0,0,0,20240303,동대문,1호선,소요산-용산,127.009745,37.57142
9,202401,1호선,동대문,901,23,11029,1950,8399,5567,13310,10317,18876,17704,18856,20503,15728,21377,17375,25215,21419,26538,24721,23840,26075,23605,26305,21355,27771,20299,25763,19744,23563,20708,15648,18800,13634,12906,12223,11907,9509,11770,4510,8733,553,2761,3,195,0,0,0,0,20240203,동대문,1호선,소요산-용산,127.009745,37.57142
