사용월,호선명,지하철역,04시-05시 승차인원,04시-05시 하차인원,05시-06시 승차인원,05시-06시 하차인원,06시-07시 승차인원,06시-07시 하차인원,07시-08시 승차인원,07시-08시 하차인원,08시-09시 승차인원,08시-09시 하차인원,09시-10시 승차인원,09시-10시 하차인원,10시-11시 승차인원,10시-11시 하차인원,11시-12시 승차인원,11시-12시 하차인원,12시-13시 승차인원,12시-13시 하차인원,13시-14시 승차인원,13시-14시 하차인원,14시-15시 승차인원,14시-15시 하차인원,15시-16시 승차인원,15시-16시 하차인원,16시-17시 승차인원,16시-17시 하차인원,17시-18시 승차인원,17시-18시 하차인원,18시-19시 승차인원,18시-19시 하차인원,19시-20시 승차인원,19시-20시 하차인원,20시-21시 승차인원,20시-21시 하차인원,21시-22시 승차인원,21시-22시 하차인원,22시-23시 승차인원,22시-23시 하차인원,23시-24시 승차인원,23시-24시 하차인원,00시-01시 승차인원,00시-01시 하차인원,01시-02시 승차인원,01시-02시 하차인원,02시-03시 승차인원,02시-03시 하차인원,03시-04시 승차인원,03시-04시 하차인원,작업일자
202410,1호선,동대문,634,22,12458,1990,10170,7253,16816,12049,22735,21186,21717,24095,19779,26622,21165,30315,25143,29197,27150,27920,29548,27755,30804,25283,31133,25386,30266,24894,27302,24323,19500,23707,16751,16407,14611,15385,11413,14530,5815,9969,771,2838,4,231,0,0,0,0,20241103
202410,1호선,동묘앞,223,4,3169,1026,3758,5319,9258,10158,14474,21962,12702,19323,14026,26098,19011,35183,26614,38104,34918,42518,38200,36024,39887,30640,41458,22474,36376,16686,23880,12636,10429,9695,6004,6919,5039,7060,3529,6902,1240,4882,106,1831,0,263,0,0,0,0,20241103
202410,1호선,서울역,573,9,8623,9367,14928,61884,42711,117041,76589,237308,72617,161142,71262,91617,86313,83265,97437,91084,94255,94948,84628,88276,114970,87674,133867,89698,194375,98530,231709,98042,126822,69485,91606,49871,92370,45709,59400,29520,29792,13969,2848,3802,1,207,0,0,0,0,20241103
202410,1호선,시청,84,1,2078,5753,4249,30299,8265,74509,11334,195324,15004,98041,18452,57341,24635,57924,27043,53398,35476,58643,47379,53107,64040,40680,86063,34233,112775,32004,166376,27233,68640,13765,60913,9798,51491,8905,30800,6197,10346,3775,506,979,1,41,0,0,0,0,20241103
202410,1호선,신설동,384,22,9813,2340,10345,10232,22756,26027,33583,55972,23917,33748,21082,22860,22973,21174,24475,20366,25969,21579,25278,20022,26979,22107,32246,24010,42902,27089,53797,32654,21330,23384,14593,16683,12472,16665,8783,14547,3887,9779,375,2781,0,1,0,1,0,0,20241103
202410,1호선,제기동,499,3,5642,2958,9670,10945,22731,22660,33113,40459,25018,35470,27206,42890,35184,52548,42478,53147,44879,53537,49574,51289,54037,40510,54632,36917,47948,29379,40653,27536,21533,17994,14065,12468,9216,11295,5586,9547,2495,6132,202,1494,0,0,0,0,0,0,20241103
202410,1호선,종각,159,8,4201,5781,4488,35252,7237,110525,11342,263764,14380,149295,20352,67223,29528,64274,35660,55950,44325,60596,56629,49998,75299,41427,97644,43085,164480,47217,218416,47311,99322,24271,83724,13048,83337,9986,59049,7095,24983,4267,1677,1077,0,1,0,1,0,0,20241103
202410,1호선,종로3가,219,10,4354,3123,4312,13909,6331,27628,10864,64799,16221,65220,22921,60132,32607,72904,44982,72041,50835,66250,62324,58628,73941,49311,83450,47504,94637,44436,100580,43323,62119,23550,52834,14086,52605,11358,40793,8941,18787,5645,1784,2380,1,32,0,0,0,0,20241103
202410,1호선,종로5가,66,2,2201,4098,3334,18537,6403,41918,10525,95222,15511,69056,25341,61395,37059,65381,46100,60386,54652,55823,63544,52539,68909,43911,74949,41074,92376,36526,97050,31987,51839,18467,36297,11016,32840,8138,17953,5837,5732,3708,327,923,0,2,0,0,0,0,20241103
202410,1호선,청량리(서울시립대입구),1216,23,11358,3394,19330,11868,50889,19730,60782,42012,40456,40624,36394,43515,44380,51366,49053,49732,52184,50771,54644,55105,57655,51753,60601,51388,55945,52642,48330,60729,27809,39747,22379,25383,17358,24426,11270,20076,4437,12302,290,3541,0,0,0,0,0,0,20241103
202410,2호선,강남,148,4,8113,11256,18052,59663,39807,152310,62260,305899,55503,314095,56166,152585,73333,106734,90028,105127,103821,117232,115518,106279,138523,100433,166859,110577,248211,139876,310065,174771,209257,105117,162387,60203,176696,50949,152466,40501,68924,23190,11657,6444,6,114,0,0,0,0,20241103
